train_loss,train_acc,val_loss,val_acc
3.2247336602069923,0.09529106414534669,3.1284864614176198,0.0830860534124629
3.0276400055405657,0.13681868743047831,2.820533641549044,0.14391691394658754
2.5437509251769477,0.25954764553207266,2.0972362729006035,0.4094955489614243
1.674100743595665,0.5320726733407489,1.0818031901536986,0.7922848664688428
0.8758490069730748,0.7942157953281423,0.4751931879409524,0.9421364985163204
0.4005479178661425,0.925101965146459,0.190516080100869,0.9777448071216617
0.18728661378459818,0.9762699295513534,0.10260984903677951,0.9821958456973294
0.1089524607444127,0.9911012235817576,0.06892221139440703,0.9896142433234422
0.06866198019317445,0.992584352984798,0.04680196375607751,0.9925816023738873
0.04780855491625134,0.996662958843159,0.043327237804268684,0.9896142433234422
