train_loss,train_acc,val_loss,val_acc
3.249977646494758,0.07119021134593993,3.2048926020777504,0.0830860534124629
3.1088876159938836,0.12680756395995552,2.832175986711369,0.18694362017804153
2.372942455421538,0.3344456803856136,1.734625126040259,0.5890207715133531
1.2991639220502955,0.6814979606970708,0.7374369751575381,0.8738872403560831
0.5575809587212004,0.9054505005561735,0.2589703439626583,0.9525222551928784
0.24598851634641372,0.9662588060808306,0.122517439428457,0.9896142433234422
0.1393033844920305,0.9840563589173156,0.07785770743218966,0.9896142433234422
0.08321842734189429,0.9918427882832778,0.0631534700866702,0.9910979228486647
0.054658555205272144,0.9951798294401186,0.04947658058602449,0.9910979228486647
0.04026607896294996,0.9977753058954394,0.04533966370793276,0.9910979228486647
